w	cs	acs
1334	0.00664118	0.001992354
1334	0.00458528	0.001375584
1336	0.00615524	0.001846572
1336	0.00646674	0.001940022
1338	0.00596834	0.001790502
1338	0.00358848	0.001076544
1340	0.00624246	0.001872738
1340	0.00402458	0.001207374
1342	0.00475972	0.001427916
1342	0.00618016	0.001854048
1344	0.00731402	0.002194206
1344	0.00449806	0.001349418
1346	0.00789964	0.002369892
1346	0.00345142	0.001035426
1348	0.00289072	8.67216E-4
1348	0.00346388	0.001039164
1350	0.00475972	0.001427916
1350	0.00804916	0.002414748
1352	7.99407434E-4	2.398222302E-4
1352	0.00913318	0.002739954
1354	0.01039164	0.003117492
1354	0.02943052	0.008829156
1356	0.00895874	0.002687622
1356	4.13091364E-4	1.239274092E-4
1358	0.0105287	0.00315861
1358	0.00247954	7.43862E-4
1360	0.01687084	0.005061252
1360	0.00960666	0.002881998
1362	0.00966896	0.002900688
1362	4.2142212E-4	1.26426636E-4
1364	0.00256676	7.70028E-4
1364	0.00603064	0.001809192
1366	0.01586158	0.004758474
1366	0.00470988	0.001412964
1368	4.27229726E-4	1.281689178E-4
1368	0.00918302	0.002754906
1370	0.00880922	0.002642766
1370	0.00132076	3.96228E-4
1372	0.00615524	0.001846572
1372	0.00879676	0.002639028
1374	0.00226772	6.80316E-4
1374	0.00924532	0.002773596
1376	0.0096565	0.00289695
1376	0.00133322	3.99966E-4
1378	0.0090335	0.00271005
1378	0.00183162	5.49486E-4
1380	0.00307762	9.23286E-4
1380	0.00225526	6.76578E-4
1382	0.0140175	0.00420525
1382	0.00945714	0.002837142
1384	0.0090335	0.00271005
1384	0.00240478	7.21434E-4
1386	0.0047971	0.00143913
1386	0.0084728	0.00254184
1388	0.01469034	0.004407102
1388	0.00153258	4.59774E-4
1390	0.0085351	0.00256053
1390	0.001029151144	3.087453432E-4
1392	0.00266644	7.99932E-4
1392	0.00514598	0.001543794
1394	0.0079744	0.00239232
1394	0	0
1396	0.00650412	0.001951236
1396	0.00234248	7.02744E-4
1398	0.001212305668	3.636917004E-4
1398	0.0071022	0.00213066
1400	0.00251692	7.55076E-4
1400	0.00895874	0.002687622
